DESKTOP-DA7QK2A [07/Oct/2019:13:08:19 -0700] GET / HTTP/1.1Host: 2003143
DESKTOP-DA7QK2A [07/Oct/2019:13:08:20 -0700] GET /js/image-test.js HTTP/1.1Host: 200678
DESKTOP-DA7QK2A [07/Oct/2019:13:08:20 -0700] GET /images/sushi.jpg HTTP/1.1Host: 20040183
DESKTOP-DA7QK2A [07/Oct/2019:14:42:07 -0700] GET / HTTP/1.1Host: 2003143
DESKTOP-DA7QK2A [07/Oct/2019:14:42:07 -0700] GET /js/image-test.js HTTP/1.1Host: 200678
DESKTOP-DA7QK2A [07/Oct/2019:14:42:07 -0700] GET /images/sushi.jpg HTTP/1.1Host: 20040183
DESKTOP-DA7QK2A [07/Oct/2019:14:42:18 -0700] GET /images/really-big-image.png HTTP/1.1Host: 2007311210
DESKTOP-DA7QK2A [07/Oct/2019:14:42:18 -0700] GET /test/1.json HTTP/1.1Host: 20013
DESKTOP-DA7QK2A [07/Oct/2019:14:42:18 -0700] GET /test/2.json HTTP/1.1Host: 20013
DESKTOP-DA7QK2A [07/Oct/2019:14:42:18 -0700] GET /test/3.json HTTP/1.1Host: 20013
DESKTOP-DA7QK2A [07/Oct/2019:14:42:18 -0700] GET /test/4.json HTTP/1.1Host: 20013
DESKTOP-DA7QK2A [07/Oct/2019:14:42:18 -0700] GET /test/5.json HTTP/1.1Host: 20013
DESKTOP-DA7QK2A [07/Oct/2019:14:42:18 -0700] GET /test/6.json HTTP/1.1Host: 20013
DESKTOP-DA7QK2A [07/Oct/2019:14:42:18 -0700] GET /test/7.json HTTP/1.1Host: 20013
DESKTOP-DA7QK2A [07/Oct/2019:14:42:18 -0700] GET /test/8.json HTTP/1.1Host: 20013
DESKTOP-DA7QK2A [07/Oct/2019:14:42:18 -0700] GET /test/9.json HTTP/1.1Host: 20013
DESKTOP-DA7QK2A [07/Oct/2019:14:42:18 -0700] GET /test/10.json HTTP/1.1Host: 20014
DESKTOP-DA7QK2A [07/Oct/2019:14:42:56 -0700] GET / HTTP/1.1Host: 2003143
DESKTOP-DA7QK2A [07/Oct/2019:14:42:57 -0700] GET /js/image-test.js HTTP/1.1Host: 200678
DESKTOP-DA7QK2A [07/Oct/2019:14:42:57 -0700] GET /images/sushi.jpg HTTP/1.1Host: 20040183
DESKTOP-DA7QK2A [07/Oct/2019:14:44:21 -0700] GET /images/suhi.jpg HTTP/1.1Host: 200-
DESKTOP-DA7QK2A [07/Oct/2019:14:44:28 -0700] GET /images/suhi.jpg HTTP/1.1Host: 200-
DESKTOP-DA7QK2A [07/Oct/2019:14:46:35 -0700] PUT /images/sushi.jpg HTTP/1.1Host: 400-
DESKTOP-DA7QK2A [07/Oct/2019:14:47:01 -0700] GET / HTTP/1.1Host: 2003143
DESKTOP-DA7QK2A [07/Oct/2019:14:47:01 -0700] GET /js/image-test.js HTTP/1.1Host: 200678
DESKTOP-DA7QK2A [07/Oct/2019:14:47:01 -0700] GET /images/sushi.jpg HTTP/1.1Host: 20040183
DESKTOP-DA7QK2A [07/Oct/2019:15:07:36 -0700] GET /index.html HTTP/1.1Host: 2003143
DESKTOP-DA7QK2A [07/Oct/2019:15:07:36 -0700] GET /js/image-test.js HTTP/1.1Host: 200678
DESKTOP-DA7QK2A [07/Oct/2019:15:07:36 -0700] GET /images/sushi.jpg HTTP/1.1Host: 20040183
DESKTOP-DA7QK2A [07/Oct/2019:15:07:37 -0700] GET /favicon.ico HTTP/1.1Host: 200-
